id,name,unit,description,source
aed_buying,UAE DIRHAM Buying Rate,NGN,CBN AED buying rate monthly average,CBN
aed_central,UAE DIRHAM Central Rate,NGN,CBN AED central rate monthly average,CBN
aed_selling,UAE DIRHAM Selling Rate,NGN,CBN AED selling rate monthly average,CBN
cbn_annual_cin_c,CBN Currency in Circulation (Annual),NGN Thousands,Annual currency in circulation - 5-year statement,CBN
cbn_annual_ext_reserve,CBN External Reserves (Annual),NGN Thousands,Annual external reserves from CBN 5-year financial statement,CBN
cbn_annual_surplus,CBN Annual Surplus,NGN Thousands,Annual surplus from CBN 5-year financial statement,CBN
cbn_annual_total_assets,CBN Total Assets (Annual),NGN Thousands,Annual total assets from CBN 5-year financial statement,CBN
cbn_annual_total_income,CBN Annual Total Income,NGN Thousands,Annual total income from CBN 5-year financial statement,CBN
cbn_bankers_deposits,Banks Deposits at CBN,NGN,Commercial banks deposits at CBN,CBN
cbn_currency_issued,CBN Currency in Circulation (Balance Sheet),NGN,Currency in circulation from CBN balance sheet,CBN
cbn_gold,CBN Gold Holdings,NGN,CBN gold holdings from balance sheet,CBN
cbn_govt_deposits,Government Deposits at CBN,NGN,Federal government deposits at CBN,CBN
cbn_total_assets,CBN Total Assets,NGN,Central Bank of Nigeria total assets (monthly),CBN
cbn_total_liabilities,CBN Total Liabilities,NGN,Central Bank of Nigeria total liabilities (monthly),CBN
cfa_buying,CFA Buying Rate,NGN,CBN CFA buying rate monthly average,CBN
cfa_central,CFA Central Rate,NGN,CBN CFA central rate monthly average,CBN
cfa_selling,CFA Selling Rate,NGN,CBN CFA selling rate monthly average,CBN
chf_buying,SWISS FRANC Buying Rate,NGN,CBN CHF buying rate monthly average,CBN
chf_central,SWISS FRANC Central Rate,NGN,CBN CHF central rate monthly average,CBN
chf_selling,SWISS FRANC Selling Rate,NGN,CBN CHF selling rate monthly average,CBN
cny_buying,YUAN/RENMINBI Buying Rate,NGN,CBN CNY buying rate monthly average,CBN
cny_central,YUAN/RENMINBI Central Rate,NGN,CBN CNY central rate monthly average,CBN
cny_selling,YUAN/RENMINBI Selling Rate,NGN,CBN CNY selling rate monthly average,CBN
currency_circulation,Currency in Circulation,NGN Millions,Total value of currency in circulation in Nigeria,CBN
currency_circulation_full,Currency in Circulation (Full History),NGN Millions,Full history of currency in circulation from CBN,CBN
eur_buying,EURO Buying Rate,NGN,CBN EUR buying rate monthly average,CBN
eur_central,EURO Central Rate,NGN,CBN EUR central rate monthly average,CBN
